State,Duration_us
1,7802
0,4499
1,593
0,538
1,564
0,1684
1,565
0,557
1,592
0,1657
1,565
0,1685
1,586
0,536
1,561
0,565
1,589
0,1657
1,586
0,1663
1,562
0,562
1,593
0,1655
1,590
0,537
1,589
0,536
1,590
0,534
1,592
0,1657
1,568
0,557
1,587
0,538
1,591
0,540
1,583
0,1660
1,590
0,536
1,566
0,560
1,592
0,537
1,564
0,560
1,589
0,536
1,590
0,1659
1,585
0,1659
1,592
0,538
1,589
0,1648
1,600
0,1658
1,587
0,1656
1,591
0,1661
1,588
0,1656
1,591
0,100003
